rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
168,frame_0119.jpg,47.6,0.3833,0.3497,0.375,0.48,8,3,False,False
169,frame_0299.jpg,119.6,0.3833,0.4836,0.125,0.52,7,1,False,False
170,frame_0286.jpg,114.4,0.3831,0.3601,0.25,0.64,6,2,False,False
171,frame_0085.jpg,34.0,0.383,0.3919,0.25,0.56,6,2,False,False
172,frame_0208.jpg,83.2,0.3826,0.3862,0.125,0.76,8,1,False,False
173,frame_0173.jpg,69.2,0.3806,0.4672,0.25,0.36,6,2,False,False
174,frame_0205.jpg,82.0,0.3783,0.3937,0.125,0.72,4,1,False,False
175,frame_0228.jpg,91.2,0.3778,0.6646,0.125,0.04,6,1,False,False
176,frame_0171.jpg,68.4,0.3721,0.4182,0.25,0.44,8,2,False,False
177,frame_0081.jpg,32.4,0.3681,0.2982,0.25,0.72,10,2,False,False
178,frame_0201.jpg,80.4,0.3679,0.3619,0.25,0.56,4,2,False,False
179,frame_0371.jpg,148.4,0.367,0.627,0.125,0.08,6,1,False,False
180,frame_0223.jpg,89.2,0.3629,0.5867,0.125,0.16,9,1,False,False
181,frame_0309.jpg,123.6,0.3621,0.4512,0.375,0.12,5,3,False,False
182,frame_0194.jpg,77.6,0.362,0.4621,0.25,0.28,5,2,False,False
183,frame_0310.jpg,124.0,0.3611,0.4653,0.375,0.08,7,3,False,False
184,frame_0180.jpg,72.0,0.3609,0.4648,0.375,0.08,7,3,False,False
185,frame_0091.jpg,36.4,0.3595,0.5161,0.125,0.32,3,1,False,False
186,frame_0272.jpg,108.8,0.3595,0.462,0.375,0.08,6,3,False,False
187,frame_0322.jpg,128.8,0.3585,0.4279,0.375,0.16,6,3,False,False
188,frame_0122.jpg,48.8,0.3565,0.398,0.125,0.6,6,1,False,False
189,frame_0009.jpg,3.6,0.3552,0.2353,0.125,1.0,4,1,False,False
190,frame_0094.jpg,37.6,0.3531,0.4012,0.375,0.2,7,3,False,False
191,frame_0215.jpg,86.0,0.3508,0.3596,0.25,0.48,7,2,False,False
192,frame_0332.jpg,132.8,0.35,0.5339,0.25,0.04,8,2,False,False
193,frame_0233.jpg,93.2,0.348,0.45,0.25,0.24,12,2,False,False
194,frame_0019.jpg,7.6,0.3469,0.2189,0.125,1.0,5,1,False,False
195,frame_0204.jpg,81.6,0.344,0.266,0.25,0.68,5,2,False,False
196,frame_0281.jpg,112.4,0.3419,0.3577,0.25,0.44,6,2,False,False
197,frame_0218.jpg,87.2,0.3418,0.3896,0.25,0.36,5,2,False,False
198,frame_0110.jpg,44.0,0.3387,0.4044,0.375,0.12,9,3,False,False
199,frame_0214.jpg,85.6,0.3378,0.3177,0.25,0.52,5,2,False,False
200,frame_0083.jpg,33.2,0.3365,0.267,0.25,0.64,5,2,False,False
201,frame_0302.jpg,120.8,0.3345,0.359,0.25,0.4,7,2,False,False
202,frame_0024.jpg,9.6,0.3334,0.2667,0.0,1.0,6,0,False,False
203,frame_0101.jpg,40.4,0.3332,0.4845,0.25,0.08,7,2,False,False
204,frame_0084.jpg,33.6,0.3331,0.3512,0.125,0.6,6,1,False,False
205,frame_0199.jpg,79.6,0.3328,0.3986,0.125,0.48,3,1,False,False
206,frame_0189.jpg,75.6,0.3294,0.4767,0.25,0.08,6,2,False,False
207,frame_0385.jpg,154.0,0.3268,0.4236,0.25,0.2,6,2,False,False
208,frame_0285.jpg,114.0,0.3227,0.4054,0.0,0.6,4,0,False,False
209,frame_0082.jpg,32.8,0.3224,0.2978,0.125,0.68,8,1,False,False
210,frame_0087.jpg,34.8,0.3209,0.2998,0.25,0.48,7,2,False,False
211,frame_0327.jpg,130.8,0.3209,0.5508,0.125,0.04,9,1,False,False
212,frame_0206.jpg,82.4,0.3208,0.3376,0.0,0.76,4,0,False,False
213,frame_0183.jpg,73.2,0.3191,0.4721,0.25,0.04,5,2,False,False
214,frame_0090.jpg,36.0,0.3183,0.3426,0.25,0.36,6,2,False,False
215,frame_0103.jpg,41.2,0.3178,0.3466,0.375,0.16,6,3,False,False
216,frame_0220.jpg,88.0,0.3171,0.4472,0.125,0.28,4,1,False,False
217,frame_0104.jpg,41.6,0.316,0.359,0.375,0.12,7,3,False,False
218,frame_0195.jpg,78.0,0.313,0.4231,0.125,0.32,5,1,False,False
219,frame_0211.jpg,84.4,0.3129,0.2947,0.125,0.64,4,1,False,False
220,frame_0096.jpg,38.4,0.3128,0.4275,0.25,0.12,9,2,False,False
221,frame_0295.jpg,118.0,0.3102,0.2734,0.125,0.68,6,1,False,False
222,frame_0174.jpg,69.6,0.3099,0.4167,0.125,0.32,7,1,False,False
223,frame_0219.jpg,87.6,0.3036,0.3293,0.25,0.32,6,2,False,False
224,frame_0325.jpg,130.0,0.3027,0.4393,0.25,0.04,9,2,False,False
225,frame_0225.jpg,90.0,0.2981,0.4892,0.125,0.08,9,1,False,False
226,frame_0271.jpg,108.4,0.2927,0.4194,0.25,0.04,5,2,False,False
227,frame_0372.jpg,148.8,0.2882,0.4534,0.125,0.12,11,1,False,False
228,frame_0221.jpg,88.4,0.2799,0.3138,0.25,0.24,4,2,False,False
229,frame_0394.jpg,157.6,0.2796,0.3771,0.25,0.08,9,2,False,False
230,frame_0267.jpg,106.8,0.2787,0.3593,0.25,0.12,6,2,False,False
231,frame_0224.jpg,89.6,0.2669,0.4107,0.125,0.12,10,1,False,False
232,frame_0112.jpg,44.8,0.2666,0.3782,0.125,0.2,8,1,False,False
233,frame_0111.jpg,44.4,0.2652,0.3914,0.125,0.16,7,1,False,False
234,frame_0382.jpg,152.8,0.265,0.423,0.125,0.08,5,1,False,False
235,frame_0108.jpg,43.2,0.2647,0.3634,0.25,0.04,11,2,False,False
236,frame_0273.jpg,109.2,0.2647,0.3314,0.25,0.12,8,2,False,False
237,frame_0268.jpg,107.2,0.2636,0.4202,0.125,0.08,6,1,False,False
238,frame_0209.jpg,83.6,0.2574,0.2268,0.0,0.72,5,0,False,False
239,frame_0200.jpg,80.0,0.2557,0.2283,0.125,0.52,3,1,False,False
240,frame_0207.jpg,82.8,0.2517,0.1833,0.0,0.8,3,0,False,False
241,frame_0213.jpg,85.2,0.2514,0.2787,0.0,0.56,4,0,False,False
242,frame_0323.jpg,129.2,0.2498,0.3016,0.25,0.12,7,2,False,False
243,frame_0226.jpg,90.4,0.2454,0.3997,0.125,0.04,4,1,False,False
244,frame_0217.jpg,86.8,0.2449,0.2547,0.125,0.4,5,1,False,False
